# gname               ra          dec         era       edec      l         b          el                      eb                      Speak   eSpeak   Sint   eSint   RMS       SNR   Yf     Reff   Npix   Simb_class       GD_name           
  G002.4290-00.1231   267.94198   -26.91841   3.93E-5   3.93E-5   2.42899   -0.12314   3.835958014050291E-5    3.645614275184154E-5    0.0     0.0      0.0    0.0     9.94E-5   5.1   1.06   0.5    14     none             NULL              
  G002.4391-01.0194   268.81569   -27.36445   3.9E-5    3.9E-5    2.43906   -1.01943   3.7813360444507715E-5   3.558217400764906E-5    0.0     0.0      0.0    0.0     1.85E-4   5.1   0.63   0.4    9      none             NULL              
  G002.4419+00.3868   267.45868   -26.64621   3.98E-5   3.98E-5   2.44194   0.38684    3.91010793323876E-5     3.6625476517169076E-5   0.0     0.0      0.0    0.0     8.57E-5   5.0   1.2    0.6    17     none             NULL              
  G002.4442-00.0629   267.89258   -26.87459   3.94E-5   3.94E-5   2.44419   -0.06289   3.863690190796031E-5    3.612401089671253E-5    0.0     0.0      0.0    0.0     1.03E-4   5.1   0.87   0.5    12     none             NULL              
  G002.4459+00.7922   267.07249   -26.43414   3.92E-5   3.92E-5   2.44586   0.79221    3.8250759336415836E-5   3.6111452629614874E-5   0.0     0.0      0.0    0.0     8.79E-5   5.1   0.92   0.5    13     none             NULL              
  G002.4593+00.7183   267.15092   -26.4607    3.54E-5   3.54E-5   2.45934   0.71835    3.407943333322644E-5    3.265260477357691E-5    0.0     0.0      0.0    0.0     1.6E-4    5.6   1.69   0.8    29     none             G002.458+00.717   
  G002.4697-01.0678   268.88011   -27.36234   3.79E-5   3.79E-5   2.46972   -1.06778   3.662134416940823E-5    3.4981338921181494E-5   0.0     0.0      0.0    0.0     9.58E-4   5.3   0.84   0.5    12     none             NULL              
  G002.4709-00.6236   268.44968   -27.13689   3.87E-5   3.87E-5   2.47088   -0.62364   3.797076936835703E-5    3.5661776939337555E-5   0.0     0.0      0.0    0.0     1.01E-4   5.1   1.02   0.5    14     none             NULL              
  G002.4730-00.8743   268.69394   -27.26193   3.96E-5   3.96E-5   2.47296   -0.8743    3.861707298362998E-5    3.6133445280932014E-5   0.0     0.0      0.0    0.0     9.48E-5   5.0   0.94   0.5    13     none             NULL              
  G002.4764-00.6047   268.43446   -27.1225    3.84E-5   3.84E-5   2.47642   -0.60468   3.713932925706274E-5    3.509104274275066E-5    0.0     0.0      0.0    0.0     1.05E-4   5.2   1.23   0.6    17     none             NULL              
  G002.4774+00.1057   267.74922   -26.75991   3.32E-5   3.32E-5   2.47736   0.10569    3.2545987694410527E-5   3.0501010790378876E-5   0.0     0.0      0.0    0.0     9.07E-5   6.0   0.85   0.5    14     none             NULL              
  G002.4826+00.2158   267.64629   -26.69903   3.85E-5   3.85E-5   2.48259   0.21584    3.746840740432549E-5    3.5864872230552054E-5   0.0     0.0      0.0    0.0     8.66E-5   5.2   0.86   0.5    12     none             NULL              
  G002.4859+00.4576   267.41599   -26.57217   3.61E-5   3.61E-5   2.48586   0.45762    3.530067208989929E-5    3.326999658952028E-5    0.0     0.0      0.0    0.0     1.01E-4   5.5   1.45   0.7    23     none             G002.486+00.458   
  G002.4861+00.4584   267.41537   -26.57161   3.55E-5   3.55E-5   2.48606   0.45838    3.4325713479953796E-5   3.2809475319841447E-5   0.0     0.0      0.0    0.0     1.01E-4   5.6   1.52   0.7    24     none             G002.486+00.458   
  G002.4912+00.9680   266.93067   -26.30452   3.93E-5   3.93E-5   2.49121   0.96797    3.867665298437456E-5    3.6805314635134106E-5   0.0     0.0      0.0    0.0     1.03E-4   5.1   0.9    0.5    13     none             NULL              
  G002.5063-00.3598   268.21458   -26.97245   3.94E-5   3.94E-5   2.50628   -0.35978   3.808824690847613E-5    3.653547693660487E-5    0.0     0.0      0.0    0.0     9.65E-5   5.0   0.76   0.4    10     none             NULL              
  G002.5070-00.2000   268.0607    -26.89045   3.58E-5   3.58E-5   2.50703   -0.19995   3.507186455168441E-5    3.252160122252027E-5    0.0     0.0      0.0    0.0     1.08E-4   5.6   0.95   0.5    15     none             NULL              
  G002.5097-00.9298   268.76868   -27.25822   3.9E-5    3.9E-5    2.50972   -0.92977   3.8030652057054374E-5   3.5650491682795125E-5   0.0     0.0      0.0    0.0     1.06E-4   5.1   0.88   0.5    12     none             NULL              
  G002.5172+00.7095   267.19273   -26.41566   3.26E-5   3.26E-5   2.51724   0.70949    3.186918322144079E-5    3.0235701280403886E-5   0.0     0.0      0.0    0.0     9.19E-5   6.1   0.84   0.5    14     none             G002.517+00.709   
  G002.5173+00.0744   267.8022    -26.74154   3.92E-5   3.92E-5   2.51734   0.07444    3.8277763931505476E-5   3.631151963204887E-5    0.0     0.0      0.0    0.0     1.08E-4   5.1   0.98   0.5    14     none             NULL              
  G002.5375-00.9779   268.83118   -27.2585    3.83E-5   3.83E-5   2.5375    -0.97789   3.713594950309691E-5    3.508786048489538E-5    0.0     0.0      0.0    0.0     1.18E-4   5.2   1.12   0.6    16     none             NULL              
  G002.5403-00.0434   267.92881   -26.78196   3.83E-5   3.83E-5   2.54034   -0.0434    3.768929220708141E-5    3.537530313867505E-5    0.0     0.0      0.0    0.0     9.7E-5    5.2   0.76   0.5    11     none             G002.514-00.039   
  G002.5539-00.5540   268.42947   -27.03002   3.77E-5   3.77E-5   2.55389   -0.55396   3.680888705761581E-5    3.4864471056164924E-5   0.0     0.0      0.0    0.0     9.48E-5   5.3   0.98   0.5    14     none             NULL              
  G002.5546+00.0936   267.80509   -26.69967   2.88E-5   2.88E-5   2.55465   0.09362    2.7845419633301616E-5   2.6634344296106225E-5   0.0     0.0      0.0    0.0     1.48E-4   6.9   0.72   0.5    14     Radio            G002.555+00.093   
  G002.5552+00.0941   267.80494   -26.69898   3.62E-5   3.62E-5   2.55517   0.0941     3.547425798474205E-5    3.353789024375247E-5    0.0     0.0      0.0    0.0     1.47E-4   5.5   1.19   0.6    18     Radio            G002.555+00.093   
  G002.5563-00.6783   268.55116   -27.09095   3.67E-5   3.67E-5   2.55625   -0.67826   3.625406943847656E-5    3.319834280777114E-5    0.0     0.0      0.0    0.0     1.01E-4   5.4   0.9    0.5    14     none             NULL              
  G002.5683+00.7960   267.13939   -26.32734   3.93E-5   3.93E-5   2.56829   0.79597    3.797135932033517E-5    3.669332142376362E-5    0.0     0.0      0.0    0.0     9.24E-5   5.1   0.97   0.5    13     none             NULL              
  G002.5718+00.8899   267.05165   -26.27589   3.23E-5   3.23E-5   2.57177   0.88989    3.138257769489171E-5    2.9906658404004143E-5   0.0     0.0      0.0    0.0     1.16E-4   6.2   1.07   0.6    18     none             G002.570+00.889   
  G002.5841+00.1917   267.72769   -26.6242    3.92E-5   3.92E-5   2.58411   0.19167    3.808088991083686E-5    3.660023812166186E-5    0.0     0.0      0.0    0.0     1.05E-4   5.1   0.79   0.5    11     none             NULL              
  G002.5852-00.1052   268.01398   -26.77488   3.28E-5   3.28E-5   2.58522   -0.10519   3.190177819733319E-5    2.9976954090172446E-5   0.0     0.0      0.0    0.0     1.07E-4   6.1   0.75   0.5    12     none             NULL              
  G002.5876+00.5688   267.36785   -26.42777   3.78E-5   3.78E-5   2.58759   0.5688     3.705332797545705E-5    3.461689529817008E-5    0.0     0.0      0.0    0.0     9.25E-5   5.3   0.82   0.5    12     none             NULL              
  G002.5924+00.8827   267.07041   -26.2619    3.97E-5   3.97E-5   2.59244   0.88271    3.9157285148271285E-5   3.691995485043138E-5    0.0     0.0      0.0    0.0     9.53E-5   5.0   1.09   0.5    15     none             NULL              
  G002.5925-00.6298   268.52485   -27.03517   3.56E-5   3.56E-5   2.5925    -0.62982   3.451457216007015E-5    3.3189641998191246E-5   0.0     0.0      0.0    0.0     1.81E-4   5.6   1.71   0.8    30     none             G002.593-00.631   
  G002.5949+01.0246   266.93641   -26.1865    3.55E-5   3.55E-5   2.59491   1.02458    3.466534042158477E-5    3.2724380335632136E-5   0.0     0.0      0.0    0.0     1.91E-4   5.6   0.71   0.5    12     none             NULL              
  G002.5995-00.1230   268.03934   -26.77166   3.85E-5   3.85E-5   2.59953   -0.12302   3.749291554728714E-5    3.5284360798381083E-5   0.0     0.0      0.0    0.0     9.44E-5   5.2   0.78   0.4    10     none             NULL              
  G002.6007-00.3289   268.23865   -26.87544   3.72E-5   3.72E-5   2.60072   -0.32894   3.631273909068679E-5    3.409439847876255E-5    0.0     0.0      0.0    0.0     9.52E-5   5.3   1.02   0.5    15     none             NULL              
  G002.6045-00.7734   268.67071   -27.09748   3.28E-5   3.28E-5   2.60446   -0.77338   3.209517150595741E-5    2.9972365701131118E-5   0.0     0.0      0.0    0.0     1.06E-4   6.1   0.92   0.5    15     none             G002.604-00.774   
  G002.6049-00.3286   268.24066   -26.87169   3.95E-5   3.95E-5   2.60487   -0.32858   3.8710907403308254E-5   3.681837318078506E-5    0.0     0.0      0.0    0.0     9.01E-5   5.0   0.95   0.5    13     none             NULL              
