# gname               ra          dec         era       edec      l         b          el        eb        Class                Speak   eSpeak   Sint     eSint   RMS    SNR     Yf     Reff   Npix   Alpha    eAlpha  
  G022.9793-00.9308   279.1215    -9.27699    8.64E-6   8.64E-6   22.97929  -0.93083   8.56E-6   8.6E-6    EgC                  2.32    0.16     2.31     0.15    0.1    24.31   1.0    0.88   39     -0.16    0.1     
  G022.9919+00.4419   277.89408   -8.63308    2.1E-5    2.1E-5    22.99186  0.44194    2.1E-5    2.09E-5   EgC                  0.74    0.09     1.1      0.1     0.08   9.55    1.48   0.85   36     -2.4     0.25    
  G022.9929+00.8255   277.55077   -8.45469    1.2E-5    1.2E-5    22.99288  0.82546    1.19E-5   1.19E-5   EgC                  1.53    0.12     1.48     0.12    0.09   17.06   0.97   0.8    32     0.06     0.16    
  G022.9986+00.5801   277.77332   -8.56321    1.18E-5   1.18E-5   22.99858  0.58013    1.18E-5   1.17E-5   EgC                  1.4     0.11     1.41     0.11    0.08   17.31   1.01   0.8    32     -0.74    0.32    
  G023.0073-00.0488   278.34166   -8.84608    2.6E-5    2.6E-5    23.00726  -0.0488    2.59E-5   2.56E-5   EgC                  0.75    0.11     0.85     0.11    0.1    7.67    1.13   0.71   25     -1.05    0.18    
  G023.0097-00.4106   278.66785   -9.01068    2.3E-5    2.3E-5    23.00973  -0.41063   2.3E-5    2.29E-5   HII                  0.8     0.11     0.77     0.1     0.1    8.68    0.96   0.65   21     0.4      0.54    
  G023.0205+00.1900   278.13348   -8.72409    4.95E-6   4.95E-6   23.02051  0.19002    4.91E-6   4.88E-6   EgC                  3.82    0.22     3.74     0.2     0.08   48.9    0.98   0.97   47     -0.23    0.12    
  G023.0375+00.1376   278.18849   -8.73324    1.32E-5   1.32E-5   23.0375   0.13756    1.31E-5   1.32E-5   EgC                  1.16    0.1      1.24     0.1     0.08   15.36   1.07   0.82   34     -0.63    0.29    
  G023.0484+00.8851   277.52335   -8.3779     1.77E-5   1.77E-5   23.04837  0.88506    1.79E-5   1.74E-5   PN                   1.07    0.11     1.85     0.13    0.09   11.36   1.73   0.96   46     -2.54    0.32    
  G023.0518-00.4240   278.69944   -8.97951    2.19E-5   2.19E-5   23.05176  -0.42398   2.19E-5   2.15E-5   EgC                  0.69    0.08     0.74     0.08    0.08   9.16    1.07   0.72   26     -0.54    0.59    
  G023.0588+00.5183   277.85691   -8.5384     8.65E-6   8.65E-6   23.05881  0.51832    8.65E-6   8.59E-6   EgC                  1.83    0.13     2.12     0.13    0.08   24.28   1.16   0.95   45     -0.79    0.32    
  G023.0651+00.4060   277.96056   -8.58481    1.26E-5   1.26E-5   23.06505  0.40598    1.26E-5   1.24E-5   EgC                  1.09    0.09     1.15     0.09    0.07   16.14   1.06   0.8    32     -0.5     0.28    
  G023.0660+00.5186   277.86001   -8.53194    1.91E-5   1.91E-5   23.06595  0.51859    1.9E-5    1.9E-5    EgC                  0.87    0.1      1.3      0.11    0.08   10.48   1.5    0.86   37     -1.94    0.3     
  G023.0671+00.5185   277.86058   -8.53098    1.94E-5   1.94E-5   23.06707  0.51853    1.93E-5   1.94E-5   EgC                  0.85    0.09     0.87     0.09    0.08   10.31   1.02   0.72   26     -0.23    0.37    
  G023.0683+00.5182   277.8614    -8.53007    1.49E-5   1.49E-5   23.06825  0.51823    1.49E-5   1.47E-5   Radio-star           1.11    0.1      1.54     0.11    0.08   13.52   1.39   0.9    41     -1.15    0.31    
  G023.0883+00.2242   278.13452   -8.64818    2.92E-6   2.92E-6   23.08831  0.22416    2.9E-6    2.91E-6   EgC                  22.55   1.22     24.23    1.21    0.08   274.1   1.07   1.32   87     -1.23    0.03    
  G023.1026+00.2539   278.1145    -8.6218     3.98E-6   3.98E-6   23.10257  0.25391    3.96E-6   3.94E-6   EgC                  5.58    0.31     5.27     0.28    0.08   70.92   0.95   1.02   52     -0.55    0.06    
  G023.1095+00.6147   277.79419   -8.44891    7.4E-6    7.4E-6    23.10946  0.61471    7.35E-6   7.27E-6   EgC                  2.04    0.13     2.07     0.13    0.07   29.03   1.01   0.89   40     -0.91    0.25    
  G023.1133+00.7850   277.6434    -8.36674    1.29E-5   1.29E-5   23.11327  0.78497    1.29E-5   1.28E-5   Radio-star           1.13    0.09     1.11     0.09    0.07   15.71   0.98   0.8    32     0.64     0.29    
  G023.1348+00.3524   278.04117   -8.5477     2.54E-5   2.54E-5   23.1348   0.35244    2.53E-5   2.52E-5   EgC                  0.64    0.09     0.73     0.09    0.08   7.85    1.13   0.71   25     -0.59    0.75    
  G023.1350+01.0020   277.45918   -8.24702    1.18E-5   1.18E-5   23.13496  1.00197    1.18E-5   1.17E-5   EgC                  1.82    0.15     1.91     0.14    0.11   17.37   1.05   0.85   36     -0.46    0.15    
  G023.1656-00.9146   279.19358   -9.10406    3.2E-6    3.2E-6    23.1656   -0.91459   3.15E-6   3.17E-6   EgC                  10.8    0.59     10.22    0.52    0.08   133.3   0.95   1.13   64     -1.35    0.05    
  G023.1667-00.7726   279.06635   -9.03784    2.3E-5    2.3E-5    23.1667   -0.77258   2.32E-5   2.28E-5   EgC                  0.69    0.09     0.79     0.09    0.08   8.71    1.14   0.73   27     -0.67    0.47    
  G023.1679-00.3463   278.6838    -8.84072    3.86E-6   3.86E-6   23.16785  -0.34635   3.86E-6   3.84E-6   EgC                  5.98    0.33     5.77     0.3     0.08   75.52   0.97   1.06   57     -1.0     0.07    
  G023.1768-00.5390   278.86103   -8.92148    2.13E-5   2.13E-5   23.17676  -0.53897   2.1E-5    2.1E-5    EgC                  0.77    0.09     0.8      0.09    0.08   9.38    1.05   0.71   25     -0.46    0.29    
  G023.1872-00.3761   278.7195    -8.83725    1.86E-5   1.86E-5   23.18717  -0.37606   1.86E-5   1.86E-5   EgC                  0.78    0.08     0.81     0.08    0.07   10.8    1.03   0.75   28     -0.69    0.41    
  G023.1881-00.3284   278.67708   -8.81448    1.53E-5   1.53E-5   23.18809  -0.32837   1.52E-5   1.53E-5   EgC                  1.08    0.1      1.13     0.1     0.08   13.24   1.05   0.79   31     -1.0     0.22    
  G023.1897-00.8585   279.15432   -9.05689    2.81E-5   2.81E-5   23.1897   -0.85849   2.79E-5   2.79E-5   EgC                  0.53    0.08     0.59     0.08    0.08   7.09    1.12   0.65   21     -0.99    0.94    
  G023.1974-00.0005   278.38699   -8.65512    1.13E-5   1.13E-5   23.19736  -4.6E-4    1.12E-5   1.12E-5   HII                  1.59    0.13     2.47     0.15    0.09   18.21   1.55   1.05   55     -1.79    0.2     
  G023.2152+00.2190   278.19841   -8.53806    2.76E-5   2.76E-5   23.21516  0.21897    2.75E-5   2.72E-5   EgC                  0.57    0.09     0.6      0.09    0.08   7.23    1.05   0.63   20     -0.84    0.47    
  G023.2165+00.6736   277.79146   -8.32681    2.53E-5   2.53E-5   23.21647  0.67358    2.51E-5   2.51E-5   Radio-star           0.59    0.08     0.61     0.08    0.08   7.88    1.03   0.66   22     0.17     0.52    
  G023.2320+00.0809   278.3301    -8.58684    4.98E-6   4.98E-6   23.232    0.08094    4.95E-6   4.95E-6   PN                   5.88    0.34     10.93    0.56    0.12   48.47   1.86   1.31   86     -1.31    0.05    
  G023.2327+00.2461   278.18231   -8.50997    9.05E-6   9.05E-6   23.23274  0.24607    9.01E-6   9.16E-6   EgC                  2.02    0.14     2.05     0.14    0.09   23.09   1.01   0.89   40     -1.17    0.18    
  G023.2401+00.4432   278.00896   -8.4124     1.96E-5   1.96E-5   23.24006  0.44321    1.98E-5   1.94E-5   EgC                  0.86    0.1      1.22     0.11    0.09   10.24   1.41   0.85   36     -1.69    0.47    
  G023.2401-00.8724   279.19027   -9.01856    5.0E-6    5.0E-6    23.24006  -0.87241   4.95E-6   4.94E-6   EgC                  3.6     0.21     3.55     0.19    0.08   48.14   0.99   0.98   48     -1.22    0.12    
  G023.2413+00.4415   278.01106   -8.41213    2.52E-5   2.52E-5   23.24127  0.44149    2.49E-5   2.54E-5   EgC                  0.7     0.1      0.94     0.1     0.09   7.93    1.34   0.77   30     -2.2     0.31    
  G023.2447-00.5996   278.9471    -8.88903    2.59E-5   2.59E-5   23.2447   -0.59955   2.59E-5   2.58E-5   EgC                  0.61    0.09     0.66     0.09    0.08   7.71    1.09   0.66   22     -0.18    0.69    
  G023.2473+00.0936   278.32588   -8.56746    2.76E-5   2.76E-5   23.24726  0.09358    2.76E-5   2.77E-5   EgC                  0.54    0.08     0.59     0.08    0.08   7.22    1.11   0.65   21     -0.29    0.42    
  G023.2560-00.8348   279.16382   -8.98714    1.9E-5    1.9E-5    23.25597  -0.83477   1.91E-5   1.9E-5    EgC                  0.8     0.09     0.77     0.09    0.08   10.58   0.96   0.69   24     0.47     0.23    
  G023.2654+00.0765   278.34968   -8.55925    4.92E-6   4.92E-6   23.2654   0.07649    4.92E-6   4.93E-6   HII                  6.1     0.35     12.91    0.66    0.12   49.35   2.12   1.6    129    -0.97    0.06    
  G023.2699+00.5643   277.91433   -8.33002    1.19E-5   1.19E-5   23.26985  0.56431    1.16E-5   1.17E-5   EgC                  1.32    0.11     1.27     0.1     0.08   17.14   0.96   0.82   34     -0.34    0.29    
  G023.2710-00.2562   278.65091   -8.7077     9.71E-6   9.71E-6   23.27096  -0.25623   9.61E-6   9.5E-6    HII                  1.73    0.12     1.96     0.13    0.08   21.37   1.13   0.92   43     -0.94    0.14    
  G023.2721+00.2979   278.15421   -8.45108    1.95E-5   1.95E-5   23.27213  0.29791    1.97E-5   1.92E-5   EgC                  0.85    0.1      0.87     0.09    0.08   10.27   1.02   0.71   25     -1.66    0.36    
  G023.2757-00.9131   279.24341   -9.00557    7.45E-6   7.45E-6   23.27571  -0.91307   7.45E-6   7.42E-6   EgC                  2.32    0.15     2.4      0.15    0.08   28.79   1.04   0.94   44     -1.12    0.21    
  G023.2816+00.7166   277.78338   -8.24922    2.32E-5   2.32E-5   23.28156  0.71657    2.31E-5   2.29E-5   PN                   0.64    0.08     0.6      0.08    0.08   8.61    0.93   0.63   20     0.65     0.36    
  G023.2823-00.0064   278.43194   -8.58251    2.73E-5   2.73E-5   23.28228  -0.00641   2.72E-5   2.73E-5   EgC                  0.51    0.08     0.55     0.08    0.07   7.31    1.09   0.65   21     -0.95    0.47    
  G023.2837+00.9075   277.61333   -8.15895    7.59E-6   7.59E-6   23.28369  0.90755    7.61E-6   7.42E-6   Radio-star           2.23    0.14     2.41     0.14    0.08   28.19   1.08   0.96   46     -0.75    0.15    
  G023.2925-00.2785   278.68096   -8.69884    1.73E-5   1.73E-5   23.2925   -0.27852   1.74E-5   1.71E-5   EgC                  1.12    0.12     2.2      0.15    0.1    11.65   1.97   1.02   52     -1.97    0.19    
  G023.2938-00.2776   278.6807    -8.69727    3.95E-6   3.95E-6   23.29377  -0.27756   3.87E-6   3.95E-6   EgC                  6.45    0.36     7.32     0.38    0.09   72.07   1.13   1.17   69     -1.46    0.1     
  G023.3009+00.7013   277.80605   -8.23917    1.66E-5   1.66E-5   23.30086  0.70133    1.65E-5   1.64E-5   EgC                  0.95    0.1      1.0      0.1     0.08   12.16   1.05   0.75   28     -0.37    0.21    
  G023.3153-00.9727   279.31539   -8.99778    2.79E-5   2.79E-5   23.31528  -0.97265   2.82E-5   2.78E-5   EgC                  0.74    0.11     1.16     0.12    0.1    7.14    1.56   0.79   31     -1.22    0.18    
  G023.3261-00.1230   278.55697   -8.59736    2.79E-5   2.79E-5   23.32609  -0.12297   2.78E-5   2.78E-5   EgC                  0.49    0.08     0.53     0.08    0.07   7.14    1.08   0.63   20     0.23     0.29    
  G023.3333-00.7436   279.11779   -8.87658    2.63E-5   2.63E-5   23.33328  -0.74359   2.65E-5   2.59E-5   EgC                  0.59    0.09     0.69     0.09    0.08   7.59    1.17   0.68   23     -1.08    0.56    
  G023.3598+00.4765   278.03501   -8.29086    1.07E-5   1.07E-5   23.35977  0.47651    1.07E-5   1.05E-5   EgC                  1.71    0.13     1.88     0.13    0.09   19.24   1.1    0.87   38     -0.61    0.23    
  G023.3663+00.0147   278.45215   -8.49825    8.99E-6   8.99E-6   23.36627  0.01471    8.98E-6   8.83E-6   EgC                  1.81    0.13     2.31     0.14    0.08   23.25   1.28   1.11   62     -0.16    0.07    
  G023.3668+00.3358   278.16443   -8.34968    2.19E-5   2.19E-5   23.36675  0.33576    2.2E-5    2.19E-5   Radio-star           0.72    0.09     0.83     0.09    0.08   9.15    1.14   0.75   28     -0.56    0.57    
  G023.3691-00.4065   278.83158   -8.68973    1.51E-5   1.51E-5   23.36913  -0.40649   1.48E-5   1.49E-5   EgC                  1.12    0.1      1.15     0.1     0.08   13.33   1.02   0.77   30     -0.18    0.29    
  G023.3695-00.4954   278.91155   -8.73031    1.91E-5   1.91E-5   23.36947  -0.49535   1.91E-5   1.86E-5   EgC                  0.83    0.09     0.95     0.09    0.08   10.49   1.15   0.75   28     -0.34    0.39    
  G023.3714-01.0344   279.39698   -8.97622    2.06E-5   2.06E-5   23.37142  -1.03435   2.04E-5   2.03E-5   EgC                  2.56    0.32     3.55     0.33    0.28   9.73    1.39   0.82   34     -0.8     1.22    
  G023.3759+00.7019   277.84056   -8.1724     1.88E-5   1.88E-5   23.37586  0.70193    1.88E-5   1.86E-5   Radio-star           0.93    0.1      0.92     0.1     0.09   10.65   0.99   0.72   26     -0.5     0.46    
  G023.3856+00.0631   278.41774   -8.45881    1.6E-5    1.6E-5    23.38557  0.06309    1.59E-5   1.58E-5   EgC                  0.88    0.08     0.96     0.08    0.07   12.59   1.1    0.79   31     -1.26    0.6     
  G023.3871-00.3694   278.80664   -8.65672    2.46E-5   2.46E-5   23.38709  -0.36942   2.44E-5   2.49E-5   EgC                  0.74    0.1      0.89     0.1     0.09   8.1     1.2    0.72   26     -1.53    0.56    
  G023.3899+00.2624   278.24101   -8.36305    2.54E-5   2.54E-5   23.38987  0.26238    2.52E-5   2.49E-5   EgC                  0.56    0.08     0.68     0.08    0.07   7.87    1.21   0.71   25     0.22     0.25    
  G023.3982+00.4412   278.08462   -8.27308    2.13E-5   2.13E-5   23.39822  0.44118    2.11E-5   2.1E-5    Radio-star           0.76    0.09     0.73     0.09    0.08   9.4     0.96   0.66   22     -0.99    0.59    
  G023.4024+00.1530   278.34493   -8.40236    1.22E-5   1.22E-5   23.40243  0.15304    1.21E-5   1.2E-5    Radio-star           1.24    0.1      1.25     0.1     0.08   16.66   1.01   0.8    32     -0.57    0.29    
  G023.4130-00.5384   278.97046   -8.71149    1.19E-5   1.19E-5   23.41297  -0.5384    1.19E-5   1.18E-5   EgC                  1.37    0.11     1.4      0.11    0.08   17.11   1.02   0.81   33     -0.64    0.23    
  G023.4159+00.1345   278.36781   -8.39894    2.83E-5   2.83E-5   23.41591  0.13453    2.85E-5   2.82E-5   EgC                  0.45    0.07     0.51     0.07    0.07   7.05    1.15   0.66   22     -1.48    0.59    
  G023.4180-00.3940   278.84314   -8.6406     3.43E-6   3.43E-6   23.41801  -0.39403   3.45E-6   3.47E-6   PN                   13.19   0.72     16.57    0.84    0.13   102.0   1.26   1.24   77     -0.7     0.05    
  G023.4186+00.0089   278.48173   -8.45453    3.92E-6   3.92E-6   23.41855  0.0089     3.86E-6   3.89E-6   EgC                  5.81    0.32     5.71     0.3     0.08   72.99   0.98   1.04   54     -0.29    0.09    
  G023.4243-00.5234   278.96227   -8.6945     2.12E-5   2.12E-5   23.42434  -0.52339   2.11E-5   2.1E-5    EgC                  0.8     0.1      1.0      0.1     0.09   9.45    1.24   0.76   29     -1.04    0.68    
  G023.4361+00.4555   278.08946   -8.23287    2.54E-5   2.54E-5   23.4361   0.45551    2.5E-5    2.52E-5   EgC                  0.61    0.08     0.63     0.08    0.08   7.86    1.04   0.66   22     -1.43    0.49    
  G023.4391-00.3433   278.80744   -8.59852    8.92E-6   8.92E-6   23.43912  -0.34333   8.94E-6   8.82E-6   EgC                  1.91    0.14     2.07     0.13    0.08   23.45   1.08   0.91   42     -1.32    0.22    
  G023.4443-00.5938   279.03482   -8.70917    2.57E-5   2.57E-5   23.44428  -0.59382   2.56E-5   2.53E-5   EgC                  0.59    0.08     0.62     0.08    0.08   7.78    1.06   0.65   21     -0.48    0.37    
  G023.4503-00.8077   279.22982   -8.80206    2.25E-5   2.25E-5   23.45034  -0.80768   2.24E-5   2.22E-5   EgC                  0.68    0.09     0.75     0.09    0.08   8.88    1.11   0.69   24     -0.2     0.37    
  G023.4552-00.2010   278.68713   -8.51875    3.14E-6   3.14E-6   23.45516  -0.20099   3.11E-6   3.11E-6   HII                  12.12   0.68     12.99    0.66    0.09   145.4   1.07   1.33   89     0.1      0.02    
  G023.4582+00.0657   278.4493    -8.39317    1.9E-5    1.9E-5    23.45821  0.06566    1.89E-5   1.87E-5   HII                  0.94    0.1      1.38     0.11    0.09   10.59   1.47   0.88   39     -1.36    0.43    
  G023.4764-00.2787   278.7668    -8.53568    1.53E-5   1.53E-5   23.47641  -0.27872   1.51E-5   1.52E-5   Radio-star           1.08    0.1      1.05     0.1     0.08   13.2    0.97   0.75   28     -0.6     0.31    
  G023.4807-00.5720   279.03214   -8.66684    2.39E-5   2.39E-5   23.48066  -0.572     2.4E-5    2.39E-5   EgC                  0.65    0.09     0.85     0.09    0.08   8.37    1.3    0.73   27     -1.9     0.65    
  G023.4835+00.0964   278.43347   -8.35658    7.49E-6   7.49E-6   23.48345  0.09642    7.38E-6   7.42E-6   HII                  2.4     0.15     2.9      0.17    0.08   28.61   1.21   1.04   54     -1.04    0.12    
  G023.4871+00.4559   278.11293   -8.18749    1.3E-5    1.3E-5    23.48708  0.45587    1.29E-5   1.3E-5    PN                   1.25    0.11     2.08     0.13    0.08   15.59   1.67   1.1    61     -0.79    0.29    
  G023.5043-00.5243   279.00032   -8.62391    1.09E-5   1.09E-5   23.50432  -0.52433   1.1E-5    1.07E-5   PN                   2.41    0.18     7.5      0.4     0.13   18.91   3.11   1.36   93     -2.28    0.18    
  G023.5059+00.2179   278.33501   -8.28069    2.45E-5   2.45E-5   23.50586  0.21787    2.44E-5   2.43E-5   EgC                  0.58    0.08     0.59     0.08    0.07   8.16    1.02   0.68   23     0.61     0.17    
  G023.5166+00.8186   277.8018    -7.99364    2.29E-5   2.29E-5   23.51661  0.81862    2.31E-5   2.28E-5   Radio-star           0.65    0.08     0.83     0.09    0.07   8.73    1.29   0.79   31     0.19     0.61    
  G023.5220+00.2654   278.29997   -8.24446    7.13E-6   7.13E-6   23.522    0.26535    7.1E-6    7.07E-6   Other                2.01    0.13     2.01     0.12    0.07   30.34   1.0    0.87   38     -0.26    0.17    
  G023.5319-00.1302   278.65931   -8.41802    2.59E-5   2.59E-5   23.53189  -0.13017   2.58E-5   2.58E-5   Radio-star           0.61    0.09     0.57     0.09    0.08   7.7     0.94   0.61   19     0.35     0.39    
  G023.5328-00.6404   279.11782   -8.65193    2.45E-5   2.45E-5   23.53283  -0.64038   2.45E-5   2.43E-5   EgC                  0.59    0.08     0.67     0.08    0.08   8.15    1.13   0.68   23     -1.66    0.42    
  G023.5334-00.3142   278.82516   -8.5014     2.85E-5   2.85E-5   23.53341  -0.31418   2.81E-5   2.79E-5   Radio-star           0.58    0.09     0.57     0.09    0.08   6.99    0.98   0.6    18     0.22     0.53    
  G023.5400+00.8716   277.76527   -7.94843    2.86E-6   2.86E-6   23.53997  0.8716     2.86E-6   2.84E-6   EgC                  39.01   2.1      35.42    1.77    0.08   514.5   0.91   1.24   77     -0.53    0.05    
  G023.5445-00.8122   279.27763   -8.72055    1.21E-5   1.21E-5   23.54446  -0.81222   1.19E-5   1.2E-5    EgC                  1.48    0.12     1.55     0.12    0.09   16.87   1.05   0.82   34     -0.36    0.16    
  G023.5585-00.3243   278.84591   -8.48378    4.76E-6   4.76E-6   23.5585   -0.32429   4.72E-6   4.71E-6   EgC                  4.21    0.25     4.23     0.23    0.08   51.83   1.0    0.99   49     -0.96    0.1     
  G023.5609-00.5920   279.0874    -8.60475    3.5E-6    3.5E-6    23.56092  -0.59199   3.51E-6   3.51E-6   EgC                  7.85    0.43     7.35     0.38    0.08   96.78   0.94   1.05   55     -0.27    0.03    
  G023.5612+00.4513   278.15155   -8.12385    2.73E-5   2.73E-5   23.56118  0.45134    2.75E-5   2.7E-5    EgC                  0.52    0.08     0.61     0.08    0.07   7.31    1.16   0.68   23     -1.6     0.38    
  G023.5635-00.8706   279.33892   -8.73043    6.02E-6   6.02E-6   23.5635   -0.87058   6.05E-6   5.94E-6   EgC                  3.21    0.2      3.12     0.18    0.09   37.37   0.97   0.9    41     -0.33    0.1     
  G023.5678-00.6067   279.10381   -8.60543    1.81E-5   1.81E-5   23.56777  -0.60671   1.81E-5   1.81E-5   EgC                  0.88    0.09     0.87     0.09    0.08   11.07   1.0    0.73   27     -0.07    0.4     
  G023.5725-00.5298   279.03698   -8.56589    1.54E-5   1.54E-5   23.57251  -0.52984   1.54E-5   1.53E-5   EgC                  1.09    0.1      1.15     0.1     0.08   13.09   1.06   0.79   31     -0.35    0.38    
  G023.5737-00.6787   279.17126   -8.63321    1.41E-5   1.41E-5   23.57374  -0.67871   1.4E-5    1.39E-5   EgC                  1.09    0.1      1.1      0.09    0.08   14.38   1.0    0.76   29     -0.82    0.14    
  G023.5783-00.9932   279.45602   -8.77351    2.34E-5   2.34E-5   23.57834  -0.99318   2.33E-5   2.32E-5   EgC                  0.96    0.13     1.16     0.13    0.12   8.55    1.21   0.73   27     -1.45    0.23    
  G023.5921-00.1224   278.68035   -8.36096    2.46E-5   2.46E-5   23.59213  -0.12236   2.46E-5   2.42E-5   EgC                  0.69    0.09     0.69     0.09    0.09   8.12    1.0    0.65   21     -0.16    0.71    
  G023.6003-00.7724   279.2678    -8.65272    1.69E-5   1.69E-5   23.60025  -0.77244   1.69E-5   1.67E-5   EgC                  0.97    0.1      1.28     0.11    0.09   11.88   1.32   0.83   35     -1.46    0.26    
  G023.6106+00.2936   278.31596   -8.15286    2.37E-5   2.37E-5   23.61057  0.29357    2.35E-5   2.35E-5   Radio-star           0.6     0.08     0.62     0.08    0.07   8.44    1.02   0.69   24     0.26     0.61    
  G023.6108+00.3139   278.29787   -8.14334    2.36E-5   2.36E-5   23.61075  0.31386    2.36E-5   2.35E-5   Radio-star           0.6     0.08     0.64     0.08    0.07   8.46    1.07   0.71   25     -0.87    0.82    
  G023.6127+00.4588   278.16885   -8.0747     4.55E-6   4.55E-6   23.61269  0.45885    4.59E-6   4.59E-6   Radio-star           4.0     0.23     3.7      0.2     0.07   55.62   0.93   0.96   46     0.93     0.09    
  G023.6152-00.3218   278.87002   -8.43226    2.1E-5    2.1E-5    23.61522  -0.32177   2.09E-5   2.1E-5    EgC                  0.76    0.09     0.81     0.09    0.08   9.56    1.07   0.71   25     -0.31    0.3     
  G023.6210-00.2025   278.76569   -8.37228    5.56E-6   5.56E-6   23.62097  -0.20253   5.57E-6   5.5E-6    EgC                  3.48    0.21     3.71     0.21    0.09   41.46   1.07   1.0    50     -1.0     0.09    
  G023.6340+00.5167   278.12695   -8.02911    6.67E-6   6.67E-6   23.63398  0.5167     6.68E-6   6.6E-6    Radio-star           2.4     0.15     2.46     0.14    0.07   32.87   1.03   0.91   42     -0.7     0.2     
  G023.6449-00.0176   278.61091   -8.2659     2.67E-5   2.67E-5   23.64486  -0.01759   2.67E-5   2.65E-5   EgC                  0.61    0.09     0.57     0.09    0.08   7.49    0.94   0.61   19     -0.09    0.52    
  G023.6482+00.6293   278.0327    -7.96448    3.49E-6   3.49E-6   23.64818  0.62933    3.47E-6   3.46E-6   EgC                  6.76    0.37     6.54     0.33    0.07   97.1    0.97   1.06   57     -0.64    0.03    
  G023.6634-00.5630   279.109     -8.50047    4.02E-6   4.02E-6   23.66335  -0.56303   3.96E-6   3.96E-6   EgC                  5.56    0.31     5.5      0.29    0.08   69.58   0.99   1.06   57     -1.17    0.06    
  G023.6644-00.0373   278.63766   -8.25762    2.92E-6   2.92E-6   23.6644   -0.03727   2.91E-6   2.89E-6   EgC                  23.03   1.24     22.65    1.14    0.08   273.2   0.98   1.19   71     0.29     0.02    
  G023.6656+00.8763   277.81974   -7.83485    1.5E-5    1.5E-5    23.66564  0.8763     1.5E-5    1.49E-5   EgC                  0.97    0.09     0.99     0.09    0.07   13.49   1.02   0.75   28     -1.33    0.21    
  G023.6831+00.1069   278.51709   -8.17459    1.24E-5   1.24E-5   23.68311  0.10689    1.23E-5   1.23E-5   Radio-star           1.52    0.12     1.45     0.12    0.09   16.46   0.96   0.79   31     -0.5     0.2     
  G023.6892+00.0791   278.54488   -8.18195    7.28E-6   7.28E-6   23.68925  0.0791     7.31E-6   7.29E-6   Radio-star           2.63    0.17     2.67     0.16    0.09   29.6    1.01   0.89   40     0.25     0.07    
  G023.6899+00.3418   278.3097    -8.06022    1.1E-5    1.1E-5    23.6899   0.34182    1.1E-5    1.08E-5   EgC                  1.4     0.11     1.41     0.1     0.08   18.69   1.0    0.82   34     -1.34    0.2     
  G023.6936+00.3852   278.27254   -8.03693    6.42E-6   6.42E-6   23.69358  0.3852     6.51E-6   6.37E-6   EgC                  2.44    0.15     2.38     0.14    0.07   34.46   0.98   0.9    41     -0.11    0.09    
  G023.6969+00.2733   278.37436   -8.08567    2.35E-5   2.35E-5   23.69686  0.27328    2.33E-5   2.34E-5   Radio-star           0.72    0.09     1.18     0.1     0.08   8.5     1.63   0.87   38     -2.01    0.35    
  G023.7038+00.5739   278.10825   -7.94075    1.69E-5   1.69E-5   23.70379  0.57393    1.67E-5   1.67E-5   EgC                  0.85    0.09     0.89     0.08    0.07   11.91   1.04   0.77   30     0.14     0.3     
  G023.7066+01.0167   277.71324   -7.7336     1.34E-5   1.34E-5   23.70661  1.01669    1.33E-5   1.31E-5   EgC                  2.77    0.24     4.38     0.29    0.18   15.2    1.58   0.98   48     -2.12    0.21    
  G023.7081-00.1043   278.71812   -8.24974    2.44E-5   2.44E-5   23.70807  -0.10432   2.47E-5   2.41E-5   EgC                  0.68    0.09     0.83     0.1     0.09   8.2     1.21   0.72   26     -0.62    0.51    
  G023.7085+00.4011   278.26526   -8.01637    2.78E-5   2.78E-5   23.7085   0.40109    2.77E-5   2.77E-5   EgC                  0.46    0.07     0.57     0.07    0.07   7.17    1.25   0.71   25     -0.59    0.32    
  G023.7090+00.1077   278.52846   -8.15125    1.62E-5   1.62E-5   23.709    0.10766    1.61E-5   1.6E-5    EgC                  1.07    0.1      1.08     0.1     0.09   12.47   1.01   0.75   28     0.01     0.47    
  G023.7096-00.0988   278.71385   -8.24582    8.8E-6    8.8E-6    23.7096   -0.09876   8.87E-6   8.75E-6   EgC                  2.08    0.14     2.29     0.14    0.09   23.81   1.1    0.94   44     -1.4     0.2     
  G023.7104+00.1713   278.47206   -8.12069    1.78E-5   1.78E-5   23.71038  0.1713     1.78E-5   1.76E-5   HII                  2.79    0.29     11.76    0.64    0.25   11.29   4.21   1.59   127    -1.83    0.27    
  G023.7106+01.0085   277.72249   -7.73383    1.05E-5   1.05E-5   23.71065  1.00846    1.05E-5   1.06E-5   EgC                  2.75    0.21     3.35     0.22    0.14   19.57   1.22   0.96   46     -1.8     0.24    
  G023.7110+00.1705   278.47304   -8.12056    5.81E-6   5.81E-6   23.71095  0.1705     5.81E-6   5.76E-6   HII                  9.43    0.57     19.82    1.02    0.24   39.09   2.1    1.5    113    -1.53    0.15    
  G023.7121+00.9648   277.76227   -7.75272    3.73E-6   3.73E-6   23.71212  0.96477    3.76E-6   3.7E-6    EgC                  7.08    0.4      6.92     0.36    0.09   81.62   0.98   1.06   56     -0.61    0.07    
  G023.7471-00.6889   279.26093   -8.48388    7.99E-6   7.99E-6   23.74712  -0.68887   7.89E-6   7.86E-6   EgC                  2.05    0.14     2.16     0.13    0.08   26.57   1.05   0.94   44     -0.81    0.17    
