# gname               ra          dec         era       edec      l         b          el        eb        Class                Speak   eSpeak   Sint     eSint   RMS    SNR     Yf     Reff   Npix   Alpha    eAlpha  
  G002.8857+00.7265   267.38793   -26.09102   1.4E-5    1.4E-5    2.88571   0.72647    1.36E-5   1.3E-5    EgC                  1.45    0.13     1.28     0.12    0.1    14.44   0.88   0.75   28     0.5      0.22    
  G002.8940-00.5246   268.59417   -26.72191   1.75E-5   1.75E-5   2.89398   -0.52459   1.7E-5    1.63E-5   EgC                  1.13    0.12     1.0      0.11    0.1    11.48   0.88   0.69   24     -0.32    0.23    
  G002.9046-00.9157   268.97851   -26.91005   2.36E-5   2.36E-5   2.90464   -0.91566   2.31E-5   2.19E-5   EgC                  0.91    0.12     0.78     0.12    0.11   8.46    0.85   0.61   19     0.58     0.49    
  G002.9217+01.0278   267.12116   -25.90506   5.57E-6   5.57E-6   2.92169   1.02776    5.42E-6   5.17E-6   EgC                  13.79   0.84     24.56    1.28    0.34   41.33   1.78   1.44   104    -1.11    0.15    
  G002.9259+00.7470   267.39128   -26.04596   1.79E-5   1.79E-5   2.92592   0.74705    1.75E-5   1.66E-5   EgC                  1.09    0.11     0.98     0.11    0.1    11.19   0.9    0.71   25     -0.22    0.19    
  G002.9267+00.5845   267.54697   -26.12876   1.51E-5   1.51E-5   2.92665   0.58454    1.48E-5   1.4E-5    Radio-star           1.3     0.12     1.18     0.12    0.1    13.34   0.9    0.73   27     0.54     0.41    
  G002.9356-00.4723   268.56724   -26.65952   2.51E-5   2.51E-5   2.93562   -0.47227   2.44E-5   2.34E-5   Radio-star           0.8     0.11     0.63     0.11    0.1    7.95    0.79   0.56   16     0.06     0.38    
  G002.9444-00.6805   268.77329   -26.7572    5.67E-6   5.67E-6   2.94437   -0.68046   5.46E-6   5.19E-6   EgC                  4.16    0.25     3.69     0.21    0.11   40.4    0.89   0.87   38     -0.43    0.16    
  G002.9479+00.8188   267.33537   -25.99023   1.9E-5    1.9E-5    2.94788   0.81879    1.82E-5   1.76E-5   EgC                  0.96    0.11     0.96     0.11    0.09   10.55   1.0    0.72   26     0.26     0.42    
  G002.9557+00.6154   267.53408   -26.08803   1.34E-5   1.34E-5   2.95568   0.61537    1.31E-5   1.24E-5   Radio-star           1.51    0.13     1.23     0.12    0.1    15.1    0.82   0.71   25     0.1      0.35    
  G002.9578+00.2629   267.87275   -26.26662   1.31E-5   1.31E-5   2.95783   0.26286    1.27E-5   1.22E-5   EgC                  1.68    0.14     1.38     0.13    0.11   15.53   0.82   0.72   26     -0.99    0.32    
  G002.9585-00.0385   268.1624    -26.41964   1.9E-5    1.9E-5    2.95852   -0.03847   1.83E-5   1.74E-5   EgC                  1.06    0.12     1.06     0.11    0.1    10.54   1.0    0.72   26     -0.06    0.17    
  G002.9609-00.6525   268.75564   -26.72883   5.87E-6   5.87E-6   2.9609    -0.65254   5.69E-6   5.44E-6   EgC                  4.22    0.25     4.23     0.24    0.11   38.6    1.0    0.97   47     -1.31    0.22    
  G002.9649-00.6588   268.76396   -26.72857   2.34E-5   2.34E-5   2.96487   -0.65883   2.31E-5   2.14E-5   EgC                  0.91    0.12     0.93     0.12    0.11   8.53    1.03   0.68   23     -0.41    0.53    
  G002.9812+00.2597   267.8891    -26.24821   2.36E-5   2.36E-5   2.98115   0.25965    2.33E-5   2.18E-5   Radio-star           1.17    0.16     0.99     0.15    0.14   8.48    0.85   0.6    18     -0.27    0.62    
